name_of_centre,postal_code,Latitude,Longitude
Adam Road Food Centre,289876,1.32415985259558,103.814165924136
Amoy Street Food Centre,69111,1.27935389427121,103.846195973221
Bedok Food Centre,469572,1.32034716834128,103.955480570427
Beo Crescent Market,169982,1.28883089150258,103.827353892228
Berseh Food Centre,208877,1.30734410946371,103.856888783769
Bukit Timah Market,588215,1.33945242854685,103.776007306701
Chomp Chomp Food Centre,557269,1.36423252476886,103.86652701738
Commonwealth Crescent Market,149644,1.30690013206335,103.800367271218
Dunman Food Centre,424768,1.30941788760759,103.901825408227
East Coast Lagoon Food Village,468960,1.30690573552745,103.935137935777
Geylang Serai Market,402001,1.31672515005311,103.897977411392
Golden Mile Food Centre,199583,1.30314175320333,103.863877615334
Holland Village Market & Food Centre,277700,1.31107297402127,103.794876419662
Kallang Estate Market,397972,1.30734398370473,103.884017699319
Market Street Food Centre,48940,1.28457,103.85011
Maxwell Food Centre,69184,1.28033142727315,103.844747227479
Newton Food Centre,229495,1.31189240495009,103.839562766706
North Bridge Road Market & Food Centre,198783,1.30563433652207,103.863909336656
Pasir Panjang Food Centre,118543,1.27569879325348,103.791619964293
Serangoon Garden Market,555945,1.36273680777483,103.866162163042
Sembawang Hill Food Centre,574419,1.37231949296183,103.829018145089
Taman Jurong Market & Food Centre,618499,1.33468266452814,103.721619258973
Tanglin Halt Market,148813,1.30054407507427,103.797737980247
Tiong Bahru Market,168898,1.28468599168094,103.832421566287
Zion Riverside Food Centre,247792,1.29231114800655,103.830973358549
ABC Brickworks Market & Food Centre,150006,1.28688297261475,103.808131274161
Albert Centre Market & Food Centre,180270,1.30110201573423,103.854115779087
Alexandra Village Food Centre,150120,1.28630594274136,103.804492637648
Blk 1 Jalan Kukoh,161001,1.2882310152805,103.839934168065
Blk 105 Hougang Ave 1,530105,1.35408273910145,103.890130407955
Blk 11 Telok Blangah Crescent,90011,1.27736813225761,103.818651524334
Blk 112 Jalan Bukit Merah,160112,1.28000480135122,103.82601329621
Blk 115 Bukit Merah View,151115,1.28550445567433,103.821823256087
Blk 117 Aljunied Ave 2,380117,1.32064636781982,103.88702414
Blk 127 Toa Payoh Lorong 1,310127,1.33804625287728,103.844733922883
Blk 137 Tampines Street 11,521137,1.34537347373749,103.944629422828
Blk 159 Mei Chin Road,140159,1.29323624443735,103.802903871889
Blk 16 Bedok South Road,460016,1.32055221938711,103.935539171613
Blk 163 Bukit Merah Central,150163,1.28388120820457,103.816939544137
Blk 17 Upper Boon Keng Road,380017,1.31502841514731,103.87162041674
Blk 20 Ghim Moh Road,270020,1.31099663218896,103.78823030662
Blk 208B New Upper Changi Road,462208,1.32478236985627,103.930570304559
Blk 210 Toa Payoh Lorong 8,310210,1.34025208908831,103.854333833433
Blk 216 Bedok North Street 1,460216,1.32706274205746,103.933217970746
Blk 22 Toa Payoh Lorong 7,310022,1.33538261333779,103.857003709119
Blk 226D Ang Mo Kio Ave 1,564226,1.36680096218071,103.839152274224
Blk 226H Ang Mo Kio Street 22,568226,1.36717874094695,103.840157741978
Blk 254 Jurong East Street 24,600254,1.34348818520494,103.73773841183
Blk 29 Bendemeer Road,330029,1.31921667890113,103.863020922593
Blk 320 Shunfu Road,570320,1.35200745401591,103.837031862103
Blk 341 Ang Mo Kio Ave 1,560341,1.36384516921846,103.84806729788
Blk 347 Jurong East Ave 1,600347,1.34541698312776,103.731703838354
Blk 353 Clementi Ave 2,120353,1.31437917978956,103.770919561136
Blk 36 Telok Blangah Rise,90036,1.27260703348585,103.822028389533
Blk 37A Teban Gardens Road,601037,1.32083109341424,103.742748119105
Blk 409 Ang Mo Kio Ave 10,560409,1.36265410749321,103.855288297631
Blk 44 Holland Drive,270044,1.30811780015992,103.792773769341
Blk 448 Clementi Ave 3,120448,1.31331969319644,103.764517192874
Blk 453A Ang Mo Kio Ave 10,561453,1.3682477887765,103.856361649863
Blk 49 Sims Place,380049,1.31703502375324,103.879309854774
Blk 4A Eunos Crescent,402004,1.32033126010096,103.904256478426
Blk 4A Jalan Batu,432004,1.30236034827101,103.883909473726
Blk 4A Woodlands Centre Road,731004,1.44129,103.77009
Blk 502 West  Coast Drive,120502,1.31190695723944,103.759128018939
Blk 503 West Coast Drive,120503,1.31180308926424,103.759751405542
Blk 505 Jurong West Street 52,640505,1.34965729130746,103.718443677825
Blk 50A Marine Terrace,441050,1.30572973591916,103.915737035334
Blk 51 Old Airport Road,390051,1.3082518471287,103.88580870609
Blk 511 Bedok North Street 3,460511,1.33321993297265,103.930581522776
Blk 527 Ang Mo Kio Ave 10,560527,1.37277209302753,103.854457955288
Blk 538 Bedok North Street 3,460538,1.3320672771228,103.924621314971
Blk 58 New Upper Changi Road,461058,1.32420087334002,103.941125277547
Blk 6 Tanjong Pagar Plaza,81006,1.27661464758769,103.843167023188
Blk 628 Ang Mo Kio Ave 4,560628,1.38098761665454,103.840628087484
Blk 630 Bedok Reservoir Road,470630,1.33277279217212,103.914190840298
Blk 69 Geylang Bahru,330069,1.32146311046779,103.870005014547
Blk 7 Empress Road,260007,1.31624052960518,103.805636700397
Blk 724 Ang Mo Kio Ave 6,560724,1.37217258545171,103.846510310202
