BLK_NO,ROAD_NAME,POSTAL,LATITUDE,LONGITUDE
754,WOODLANDS CIRCLE,731754,1.445289017,103.7939288
481,SEMBAWANG DRIVE,750481,1.452976284,103.8150941
506,BEDOK NORTH AVENUE 3,460506,1.332142808,103.9337202
688B,CHOA CHU KANG DRIVE,682688,1.403435938,103.7503369
674,CHOA CHU KANG CRESCENT,680674,1.401553764,103.7469941
306A,SERANGOON AVENUE 2,551306,1.354351338,103.8667345
306,SERANGOON AVENUE 2,550306,1.354170254,103.8668857
306,SERANGOON AVENUE 2,550306,1.354170246,103.8668857
673,HOUGANG AVENUE 8,530673,1.372519645,103.8848302
525C,PASIR RIS STREET 51,513525,1.369960491,103.9474521
120,PENDING ROAD,670120,1.377054602,103.7694441
372,BUKIT BATOK STREET 31,650372,1.358669167,103.7512137
108,JALAN BUKIT MERAH,160108,1.279220088,103.8254414
402,FAJAR ROAD,670402,1.380312263,103.7680736
402,FAJAR ROAD,670402,1.380312255,103.7680736
142,PETIR ROAD,670142,1.376391724,103.7679128
145,RIVERVALE DRIVE,540145,1.389900449,103.9060703
145,RIVERVALE DRIVE,540145,1.389900441,103.9060703
914,TAMPINES STREET 91,520914,1.349027771,103.9395684
102,HENDERSON CRESCENT,150102,1.290366187,103.8215771
560,ANG MO KIO AVENUE 10,560560,1.370816268,103.8591923
229,LORONG 8 TOA PAYOH,310229,1.338718312,103.8591946
458,ANG MO KIO AVENUE 10,560458,1.366568152,103.8596268
124,GEYLANG EAST AVENUE 1,380124,1.318388638,103.8866757
3A,UPPER BOON KENG ROAD,381003,1.313828129,103.8723808
35,DOVER ROAD,130035,1.299123981,103.7834245
338,TAMPINES STREET 33,520338,1.351918352,103.9596468
338,TAMPINES STREET 33,520338,1.351918352,103.9596468
338,TAMPINES STREET 33,520338,1.351918342,103.9596468
336,CLEMENTI AVENUE 2,120336,1.316679432,103.7692312
42,CHAI CHEE STREET,461042,1.327978774,103.9258048
110B,PUNGGOL FIELD,822110,1.395660239,103.909627
772,PASIR RIS STREET 71,510772,1.375375847,103.9369737
756,PASIR RIS STREET 71,510756,1.37781592,103.9333326
203,BISHAN STREET 23,570203,1.354536742,103.847452
647,JURONG WEST STREET 61,640647,1.340111291,103.6973881
494E,TAMPINES STREET 43,525494,1.364215315,103.9535112
274B,JURONG WEST STREET 25,642274,1.352865553,103.7032805
439A,SENGKANG WEST AVENUE,791439,1.391875231,103.8778554
107,TECK WHYE LANE,680107,1.378055381,103.7535882
88,COMMONWEALTH CLOSE,140088,1.304886344,103.7991816
24,TANGLIN HALT ROAD,140024,1.297677087,103.7996368
631,SENJA ROAD,670631,1.386626587,103.7602577
631,SENJA ROAD,670631,1.386478067,103.7602565
91,TANGLIN HALT ROAD,142091,1.300727923,103.7994173
629,SENJA ROAD,670629,1.386528024,103.759279
450D,TAMPINES STREET 42,524450,1.357135364,103.9528738
90,BEDOK NORTH STREET 4,460090,1.332149272,103.9404499
677C,JURONG WEST STREET 64,643677,1.345352692,103.70496
284,TAMPINES STREET 22,520284,1.349103845,103.9526282
284,TAMPINES STREET 22,520284,1.349103845,103.9526282
3B,UPPER BOON KENG ROAD,382003,1.314298734,103.8728282
311,SERANGOON AVENUE 2,550311,1.353762881,103.8663265
103,PASIR RIS STREET 12,510103,1.367695081,103.9584042
617A,JURONG WEST STREET 65,641617,1.340878429,103.7000939
617,JURONG WEST STREET 65,640617,1.34092565,103.7005614
617,JURONG WEST STREET 65,NIL,1.340707154,103.7004697
207,TOA PAYOH NORTH,310207,1.34240197,103.8452265
207,TOA PAYOH NORTH,310207,1.342382311,103.8455981
642,YISHUN STREET 61,760642,1.420970055,103.8374468
195D,PUNGGOL ROAD,824195,1.401367945,103.907096
136,SERANGOON NORTH AVENUE 2,550136,1.368101598,103.8749878
448B,SENGKANG WEST WAY,792448,1.393419817,103.8733199
420,TAMPINES STREET 41,520420,1.357864662,103.9475346
416,HOUGANG AVENUE 10,530416,1.375685703,103.8962838
474,ANG MO KIO AVENUE 10,560474,1.362757847,103.8580153
126,SERANGOON NORTH AVENUE 1,550126,1.366058217,103.8718749
33,CHAI CHEE AVENUE,461033,1.324009118,103.9258481
511,WOODLANDS DRIVE 14,730511,1.433452957,103.788654
337,TAMPINES STREET 32,520337,1.35238866,103.9598771
490D,CHOA CHU KANG AVENUE 5,684490,1.376028692,103.7413682
441A,FERNVALE ROAD,791441,1.391097836,103.8751662
134,RIVERVALE STREET,540134,1.387864677,103.9046729
613A,PUNGGOL DRIVE,821613,1.40442052,103.907861
352A,CANBERRA ROAD,751352,1.450655082,103.8196509
620,ANG MO KIO AVENUE 9,560620,1.382440829,103.8395464
704,ANG MO KIO AVENUE 8,560704,1.370407121,103.8472307
674A,JURONG WEST STREET 65,641674,1.344461337,103.7023153
393,YISHUN AVENUE 6,760393,1.42851535,103.8485037
