centre_code,centre_name,postal_code,Latitude,Longitude
PT9814,MAPLEBEAR LITTLE FEATS PTE LTD,618494,1.3245,103.7202
PT9037,BERRY TREE PRESCHOOL PRIVATE LIMITED,543319,1.3909,103.8906
YM0110,MY WORLD PRESCHOOL LTD.,520855,1.3536,103.9353
RC1856,Little Shepherds' Schoolhouse@Church of St Francis of Assisi (BL),649964,1.3479,103.711
PT9621,Brainy Bunch Pasir Ris Pte Ltd,510237,1.3741,103.9629
ST0292,PCF Sparkletots Preschool @ Cheng San-Seletar Blk 533 (KN),560533,1.3742,103.853
ST0307,PCF Sparkletots Preschool @ Pioneer Blk 642 (KN),640642,1.3404,103.6958
ST0310,PCF Sparkletots Preschool @ Pioneer Blk 665A (KN),641665,1.3401,103.7031
ST0011,PCF SPARKLETOTS PRESCHOOL @ TAMPINES WEST BLK 942 (CC),520942,1.3498,103.9406
PT8352,SUNSHINE KIDS EDUCARE PRIVATE LIMITED,530321,1.3671,103.8983
PT8997,Little Greenhouse @ Sengkang Pte. Ltd.,548651,1.3917,103.9004
RC1905,Kidz Meadow Childcare and Development Centre (Bedok North),460431,1.3292,103.9325
PT9751,My Prep School (Montessori) Pte Ltd,467624,1.3183,103.9414
PW0120,PCS YISHUN CHILD CARE CENTRE,760411,1.4257,103.8474
PT9050,YAY! SG PTE. LTD.,536290,1.3458,103.8757
PT9185,Little Oxford @ KE08 Pte. Ltd.,418929,1.3196,103.9129
PT8437,LITTLE PALM PRE-SCHOOL PTE LTD,459210,1.3096,103.9236
WP1107,Kinderland Preschool,307987,1.3196,103.8421
ST0012,PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH BLK 345 (CC),650345,1.3628,103.7508
RC0990,SGM MURNI,520411,1.3591,103.9461
PT8386,CARPE DIEM CHILDCARE RESORT PTE. LTD.,829489,1.4204,103.9078
PT9319,PRIME EDUCATION INVESTMENTS HOLDINGS PTE. LTD.,200808,1.3088,103.8613
ST0384,PCF Sparkletots Preschool @ Fernvale Blk 455 (CC),790455,1.3918,103.8712
PT8666,THE ORANGE TREE (CCK) PTE. LTD.,689379,1.3793,103.7592
PT9333,DAYSPRING CHILD CARE CENTRE LLP,828670,1.415,103.899
PT2600,THE CHILDREN'S PLACE PTE LTD,248935,1.2983,103.8098
ST0380,PCF Sparkletots Preschool @ Nee Soon Link Blk 461 (CC),760461,1.4284,103.85
PT9423,CHARIS MONTESSORI PTE. LTD.,545671,1.368,103.8764
NT0502,MY FIRST SKOOL,821126,1.3941,103.9114
ST0385,PCF Sparkletots Preschool @ Kolam Ayer Blk 52 (CC),380052,1.3168,103.8804
ST0173,PCF SPARKLETOTS PRESCHOOL @ KEAT HONG BLK 484 (CC),680484,1.3765,103.7371
PT9624,Iroha Kindergarten,397999,1.3082,103.8808
PT8613,RED SCHOOLHOUSE@TOH TUCK PTE LTD,596883,1.3411,103.77
PT9316,THE SPARK PLAYHOUSE PTE LTD,530406,1.3736,103.8962
PT9023,Little Footprints Preschool Group Pte Ltd,550255,1.3551,103.8709
NT0484,MY FIRST SKOOL,520135,1.348,103.957
PT9733,Akarui Early Years Learning Centre Pte. Ltd.,79314,1.2783,103.8448
SK0024,SKOOL4KIDZ CENTRE,797383,1.3906,103.873
YM0090,MY WORLD PRESCHOOL LTD.,560584,1.3707,103.8535
PT8853,HI5 HOL SEMBAWANG PTE. LTD.,769922,1.4373,103.8274
PT9352,MAPLEBEAR EARLY LEARNING PTE LTD,468699,1.3138,103.9353
PT9344,A STAR CHILDCARE PTE. LTD.,555859,1.3769999999999998,103.8748
YM0186,MY WORLD PRESCHOOL LTD.,90029,1.2737,103.8211
YM0165,MY WORLD PRESCHOOL LTD.,600055,1.3219,103.7376
ST0351,PCF Sparkletots Preschool @ Nee Soon East Blk 367 (EY),760367,1.4296,103.8451
ST0324,PCF Sparkletots Preschool @ Zhenghua Blk 528 (KN),670528,1.3849,103.7656
PT8584,ZEE SCHOOLHOUSE PTE LTD,436788,1.3076,103.893
YM0157,MY WORLD PRESCHOOL LTD.,150052,1.2885,103.8134
PT8993,Star Learners @ Elias Pte Ltd,519132,1.3812,103.9478
PT9182,LITTLE PADDINGTON PRESCHOOL SERANGOON PTE. LTD.,548542,1.366,103.885
PT9337,AGAPE LITTLE UNI. @ COMPASSVALE PTE. LTD.,542293,1.3969999999999998,103.896
YM0155,MY WORLD PRESCHOOL LTD.,542281,1.3857,103.8919
PT9057,SHEFFIELD KIDSWORLD (ST ANNE) PTE. LTD.,545271,1.391,103.903
YM0168,MY WORLD PRESCHOOL LTD.,822661,1.4025,103.9168
YM0173,MY WORLD PRESCHOOL LTD,540338,1.3992,103.8897
NT0531,MY FIRST SKOOL,310219,1.3428,103.8559
PT8950,LITTLE WONDERS MONTESSORI CHILDCARE @ REMAJA PTE. LTD.,668693,1.3583,103.7595
PT5790,CARPE DIEM SCHOOLHOUSE PTE LTD,598640,1.3435,103.7703
YM0156,MY WORLD PRESCHOOL LTD.,752350,1.4501,103.8208
PT9045,ODYSSEY THE GLOBAL PRESCHOOL PTE. LTD.,506996,1.3797,103.9622
YM0187,MY WORLD PRESCHOOL LTD,750132,1.4434,103.8308
YM0175,MY WORLD PRESCHOOL LTD,731183,1.4354,103.7774
PT8761,CARPE DIEM YOUNG JOY PTE. LTD.,670445,1.3836,103.7709
PT8480,CARPE DIEM YOUNG HEARTS PTE. LTD.,520355,1.3551,103.9616
PT8461,CARPE DIEM YOUNG MINDS PTE. LTD.,520219,1.3548,103.9526
YM0161,MY WORLD PRESCHOOL LTD.,163009,1.2868,103.8289
YM0174,MY WORLD PRESCHOOL LTD,821232,1.4022,103.891
YM0162,MY WORLD PRESCHOOL LTD.,562700,1.3694,103.8461
YM0183,MY WORLD PRESCHOOL LTD,650460,1.354,103.7397
YM0172,MY WORLD PRESCHOOL LTD,760675,1.4202,103.8436
YM0191,MY WORLD PRESCHOOL LTD,530993,1.3851,103.8836
YM0164,MY WORLD PRESCHOOL LTD.,533476,1.3779,103.9043
YM0050,MY WORLD PRESCHOOL LTD.,521113,1.3465,103.9462
YM0154,MY WORLD PRESCHOOL LTD.,730725,1.4444,103.7991
PT8433,LITTLE VILLAGE ON THE GRANGE,239704,1.2994,103.8316
YM0100,MY WORLD PRESCHOOL LTD.,520123,1.3453,103.9532
YM0188,MY WORLD PRESCHOOL LTD,520613,1.3655,103.9363
PT9221,WHIZ KIDS MONTESSORI @HOUGANG PTE LTD,530539,1.3775,103.8904
YM0192,MY WORLD PRESCHOOL LTD,520610,1.3646,103.9372
RC1739,SGM LITTLE KIDZ @ RIVERVALE,543188,1.3952,103.9048
YM0160,MY WORLD PRESCHOOL LTD.,732787,1.4446,103.8008
YM0167,MY WORLD PRESCHOOL LTD,820121,1.3937,103.9083
YM0170,MY WORLD PRESCHOOL LTD,320116,1.3277,103.8612
YM0163,MY WORLD PRESCHOOL LTD.,750462,1.4545,103.814
YM0130,MY WORLD PRESCHOOL LTD.,510575,1.3731,103.9463
YM0152,MY WORLD PRESCHOOL LTD.,330004,1.3159,103.8599
YM0060,MY WORLD PRESCHOOL LTD.,570171,1.3468,103.8537
YM0166,MY WORLD PRESCHOOL LTD,531376,1.3635,103.8936
YM0151,MY WORLD PRESCHOOL LTD.,520428,1.3591,103.9489
YM0158,MY WORLD PRESCHOOL LTD.,320014,1.3237,103.8621
YM0185,MY WORLD PRESCHOOL LTD.,550504,1.3737,103.8762
YM0176,MY WORLD PRESCHOOL LTD,751362,1.4472,103.814
YM0171,MY WORLD PRESCHOOL LTD,321113,1.321,103.8598
YM0030,MY WORLD PRESCHOOL LTD.,530373,1.3627,103.8904
PT5210,ACE @ WORK CHILDCARE PTE LTD,680703,1.3913,103.7459
PT9676,NANYANG CHILDREN SCHOOL,102078,1.2736,103.8083
