name_of_centre,postal_code,Latitude,Longitude
Adam Road Food Centre,289876,1.3241,103.8142
Amoy Street Food Centre,69111,1.2793,103.8466
Bedok Food Centre,469572,1.3203,103.9555
Beo Crescent Market,169982,1.2888,103.8274
Berseh Food Centre,208877,1.3073,103.8569
Bukit Timah Market,588215,1.3395,103.776
Chomp Chomp Food Centre,557269,1.3642,103.8665
Commonwealth Crescent Market,149644,1.307,103.8004
Dunman Food Centre,424768,1.3094,103.9018
East Coast Lagoon Food Village,468960,1.3071,103.935
Geylang Serai Market,402001,1.3167,103.8981
Golden Mile Food Centre,199583,1.3031,103.8639
Holland Village Market & Food Centre,277700,1.3111,103.7949
Kallang Estate Market,397972,1.3073,103.884
Market Street Food Centre,48940,1.285,103.8502
Market Street Food Centre,48940,1.28457,103.85011
Maxwell Food Centre,69184,1.2804,103.8447
Newton Food Centre,229495,1.3119999999999998,103.8396
North Bridge Road Market & Food Centre,198783,1.3059,103.864
Pasir Panjang Food Centre,118543,1.2758,103.7915
Serangoon Garden Market,555945,1.3629,103.8664
Sembawang Hill Food Centre,574419,1.3723,103.829
Taman Jurong Market & Food Centre,618499,1.3347,103.7216
Tanglin Halt Market,148813,1.3005,103.7977
Tiong Bahru Market,168898,1.2847,103.8323
Zion Riverside Food Centre,247792,1.2923,103.8311
ABC Brickworks Market & Food Centre,150006,1.2869,103.8082
Albert Centre Market & Food Centre,180270,1.301,103.8541
Alexandra Village Food Centre,150120,1.2863,103.8045
Blk 1 Jalan Kukoh,161001,1.2882,103.8399
Blk 105 Hougang Ave 1,530105,1.3541,103.8901
Blk 11 Telok Blangah Crescent,90011,1.2774,103.8187
Blk 112 Jalan Bukit Merah,160112,1.28,103.826
Blk 115 Bukit Merah View,151115,1.2855,103.8218
Blk 117 Aljunied Ave 2,380117,1.3206,103.887
Blk 127 Toa Payoh Lorong 1,310127,1.3381,103.8447
Blk 137 Tampines Street 11,521137,1.3454,103.9446
Blk 159 Mei Chin Road,140159,1.2932,103.8029
Blk 16 Bedok South Road,460016,1.3205,103.9355
Blk 163 Bukit Merah Central,150163,1.2838,103.817
Blk 17 Upper Boon Keng Road,380017,1.315,103.8716
Blk 20 Ghim Moh Road,270020,1.311,103.7882
Blk 208B New Upper Changi Road,462208,1.3248,103.9306
Blk 210 Toa Payoh Lorong 8,310210,1.3402,103.8545
Blk 216 Bedok North Street 1,460216,1.3271,103.9332
Blk 22 Toa Payoh Lorong 7,310022,1.3354,103.857
Blk 226D Ang Mo Kio Ave 1,564226,1.3668,103.8391
Blk 226H Ang Mo Kio Street 22,568226,1.3672,103.8401
Blk 254 Jurong East Street 24,600254,1.3435,103.7377
Blk 29 Bendemeer Road,330029,1.3192,103.863
Blk 320 Shunfu Road,570320,1.352,103.837
