school_name,postal_code,Latitude,Longitude
ADMIRALTY PRIMARY SCHOOL,738907,1.4426,103.8001
ADMIRALTY SECONDARY SCHOOL,737916,1.4459,103.8024
AHMAD IBRAHIM PRIMARY SCHOOL,768643,1.4333,103.8328
AHMAD IBRAHIM SECONDARY SCHOOL,768928,1.4361,103.8297
AI TONG SCHOOL,579646,1.3606,103.833
ALEXANDRA PRIMARY SCHOOL,159016,1.2913,103.8242
ANCHOR GREEN PRIMARY SCHOOL,544969,1.3904,103.8872
ANDERSON PRIMARY SCHOOL,569785,1.3842,103.8414
ANDERSON SECONDARY SCHOOL,569206,1.3743,103.8516
ANDERSON SERANGOON JUNIOR COLLEGE,569843,1.3789,103.8458
ANG MO KIO PRIMARY SCHOOL,569920,1.3692,103.8393
ANG MO KIO SECONDARY SCHOOL,569362,1.3673,103.8422
ANGLICAN HIGH SCHOOL,487012,1.3309,103.9415
ANGLO-CHINESE JUNIOR COLLEGE,139745,1.3030000000000002,103.7854
ANGLO-CHINESE SCHOOL (BARKER ROAD),309919,1.3196,103.8358
ANGLO-CHINESE SCHOOL (INDEPENDENT),139650,1.3030000000000002,103.7801
ANGLO-CHINESE SCHOOL (JUNIOR),227988,1.3092,103.8415
ANGLO-CHINESE SCHOOL (PRIMARY),309918,1.3185,103.8355
ANGSANA PRIMARY SCHOOL,529366,1.3485,103.9517
ASSUMPTION ENGLISH SCHOOL,678117,1.3689,103.7668
ASSUMPTION PATHWAY SCHOOL,679697,1.3697,103.766
BARTLEY SECONDARY SCHOOL,538403,1.34,103.8828
BEACON PRIMARY SCHOOL,679944,1.3839,103.7736
BEATTY SECONDARY SCHOOL,318990,1.3418,103.8523
BEDOK GREEN PRIMARY SCHOOL,469317,1.3237,103.9378
BEDOK GREEN SECONDARY SCHOOL,469722,1.3345,103.935
BEDOK SOUTH SECONDARY SCHOOL,468585,1.3251,103.951
BEDOK VIEW SECONDARY SCHOOL,469293,1.3242,103.9438
BENDEMEER PRIMARY SCHOOL,339948,1.3219999999999998,103.8654
BENDEMEER SECONDARY SCHOOL,327919,1.3243,103.8605
BENDEMEER SECONDARY SCHOOL,327919,1.3246,103.861
BLANGAH RISE PRIMARY SCHOOL,109100,1.2761,103.8086
BOON LAY GARDEN PRIMARY SCHOOL,649930,1.3430000000000002,103.7131
BOON LAY SECONDARY SCHOOL,648354,1.3427,103.7019
BOWEN SECONDARY SCHOOL,547529,1.3704,103.8777
