town,region
ANG MO KIO,region_North_East
BEDOK,region_East
BISHAN,region_Central
BUKIT BATOK,region_West
BUKIT MERAH,region_Central
BUKIT PANJANG,region_West
BUKIT TIMAH,region_Central
CENTRAL AREA,region_Central
CHOA CHU KANG,region_West
CLEMENTI,region_West
GEYLANG,region_Central
HOUGANG,region_North_East
JURONG EAST,region_West
JURONG WEST,region_West
KALLANG/WHAMPOA,region_Central
MARINE PARADE,region_Central
PASIR RIS,region_East
PUNGGOL,region_North_East
QUEENSTOWN,region_Central
SEMBAWANG,region_North
SENGKANG,region_North_East
SERANGOON,region_North_East
TAMPINES,region_East
TOA PAYOH,region_Central
WOODLANDS,region_North
YISHUN,region_North
