centre_code,centre_name,postal_code,Latitude,Longitude
PT9814,MAPLEBEAR LITTLE FEATS PTE LTD,618494,1.32453341516089,103.720228328002
PT9037,BERRY TREE PRESCHOOL PRIVATE LIMITED,543319,1.39088901071724,103.89063413206
YM0110,MY WORLD PRESCHOOL LTD.,520855,1.35358250009189,103.935299480466
RC1856,Little Shepherds' Schoolhouse@Church of St Francis of Assisi (BL),649964,1.34790173894335,103.710984432345
PT9621,Brainy Bunch Pasir Ris Pte Ltd,510237,1.37407916915993,103.962867929916
ST0292,PCF Sparkletots Preschool @ Cheng San-Seletar Blk 533 (KN),560533,1.37416923724326,103.853001920124
ST0307,PCF Sparkletots Preschool @ Pioneer Blk 642 (KN),640642,1.34036989694199,103.695839824959
ST0310,PCF Sparkletots Preschool @ Pioneer Blk 665A (KN),641665,1.34009319246619,103.703124305023
ST0011,PCF SPARKLETOTS PRESCHOOL @ TAMPINES WEST BLK 942 (CC),520942,1.34977339661508,103.940622244099
PT8352,SUNSHINE KIDS EDUCARE PRIVATE LIMITED,530321,1.36710131174973,103.898278016767
PT8997,Little Greenhouse @ Sengkang Pte. Ltd.,548651,1.39168887721389,103.900386351553
RC1905,Kidz Meadow Childcare and Development Centre (Bedok North),460431,1.32922126388158,103.932502461445
PT9751,My Prep School (Montessori) Pte Ltd,467624,1.31834303213618,103.941364027549
PW0120,PCS YISHUN CHILD CARE CENTRE,760411,1.42574178895795,103.847404279075
PT9050,YAY! SG PTE. LTD.,536290,1.34580622499118,103.875741690705
PT9185,Little Oxford @ KE08 Pte. Ltd.,418929,1.31963983510783,103.912912683775
PT8437,LITTLE PALM PRE-SCHOOL PTE LTD,459210,1.30974523556234,103.923485025317
WP1107,Kinderland Preschool,307987,1.31978249878705,103.842142960008
WP1107,Kinderland Preschool,307987,1.31974145078472,103.842017889275
ST0012,PCF SPARKLETOTS PRESCHOOL @ HONG KAH NORTH BLK 345 (CC),650345,1.36284881503816,103.750843242288
RC0990,SGM MURNI,520411,1.35911452071564,103.946078782025
PT8386,CARPE DIEM CHILDCARE RESORT PTE. LTD.,829489,1.42039549664822,103.90775946087
PT9319,PRIME EDUCATION INVESTMENTS HOLDINGS PTE. LTD.,200808,1.3088060941423,103.861311954595
